"URI","rdf-schema#label","areaTotal","populationDensity","anthem_label","anthem","areaTotal","capital_label","capital","currency_label","currency","demonym","dissolutionDate","dissolutionYear","ethnicGroup_label","ethnicGroup","flag","foundingDate","foundingYear","governmentType_label","governmentType","language_label","language","leader_label","leader","leaderTitle","longName","motto","officialLanguage_label","officialLanguage","populationDensity","populationTotal","timeZone_label","timeZone"
"http://dbpedia.org/resource/Abbey_of_Saint_Gall__F%C3%BCrstabtei_St._Gallen__1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1798-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","1207-01-01T00:00:00+02:00","Principality","http://dbpedia.org/resource/Principality","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abbey_of_Saint_Peter_in_the_Black_Forest","Abbey of Saint Peter in the Black Forest","NULL","NULL","NULL","NULL","NULL","Sankt Peter Baden-Württemberg","http://dbpedia.org/resource/Sankt_Peter,_Baden-W%C3%BCrttemberg","NULL","NULL","NULL","NULL","1806-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","0011-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abkhaz_Autonomous_Soviet_Socialist_Republic","Abkhaz Autonomous Soviet Socialist Republic","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Soviet ruble","http://dbpedia.org/resource/Soviet_ruble","NULL","1991-07-23","1991-01-01T00:00:00+02:00","NULL","NULL","NULL","1931-02-19","1931-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Пролетарии всех стран соединяйтесь!","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abkhazia","Abkhazia","{8660.0|8660.920240963585}","{27.799355415056105|28.0}","NULL","NULL","{8.66e+09|8.66092e+09}","Sukhumi","http://dbpedia.org/resource/Sukhumi","Abkhazian apsar","http://dbpedia.org/resource/Abkhazian_apsar","Abkhaz Abkhazian","NULL","NULL","NULL","NULL","Flag of Abkhazia.svg","{1990-06-20|1990-08-25|2008-08-26}","NULL","Unitary state","http://dbpedia.org/resource/Unitary_state","{Georgian language|Abkhaz language}","{http://dbpedia.org/resource/Georgian_language|http://dbpedia.org/resource/Abkhaz_language}","{Leonid Lakerbaia|Alexander Ankvab}","{http://dbpedia.org/resource/Leonid_Lakerbaia|http://dbpedia.org/resource/Alexander_Ankvab}","{President|Prime Minister}","Republic of Abkhazia","NULL","Abkhaz language","http://dbpedia.org/resource/Abkhaz_language","{27.7994|28.0}","242862","Moscow Time","http://dbpedia.org/resource/Moscow_Time"
"http://dbpedia.org/resource/Abkhazia,_Georgia","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abyei","Abyei","{10546.0|10546.431585288194}","NULL","NULL","NULL","{1.0546e+10|1.05464e+10}","Abyei (town)","http://dbpedia.org/resource/Abyei_(town)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{2005-01-09|2008-08-31}","NULL","NULL","NULL","Arabic language","http://dbpedia.org/resource/Arabic_language","NULL","NULL","Chief Administrator","Abyei Area","NULL","Arabic language","http://dbpedia.org/resource/Arabic_language","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Aceh_Sultanate","Aceh Sultanate","NULL","NULL","NULL","NULL","NULL","Banda Aceh","http://dbpedia.org/resource/Banda_Aceh","NULL","NULL","NULL","NULL","1903-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","1496-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Achaean_League","Achaean League","NULL","NULL","NULL","NULL","NULL","Aigio","http://dbpedia.org/resource/Aigio","NULL","NULL","NULL","NULL","-146-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","-280-01-01T00:00:00+02:00","Republic","http://dbpedia.org/resource/Republic","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Achaemenid_Empire","Achaemenid Empire","NULL","NULL","NULL","NULL","NULL","{Pasargadae|Susa|Persepolis|Babylon|Ecbatana}","{http://dbpedia.org/resource/Pasargadae|http://dbpedia.org/resource/Susa|http://dbpedia.org/resource/Persepolis|http://dbpedia.org/resource/Babylon|http://dbpedia.org/resource/Ecbatana}","{Persian daric|Achaemenid coinage}","{http://dbpedia.org/resource/Persian_daric|http://dbpedia.org/resource/Achaemenid_coinage}","NULL","NULL","-330-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","-550-01-01T00:00:00+02:00","Feudalism","http://dbpedia.org/resource/Feudalism","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Ad%C3%A9lie_Land","Adélie Land","432000.0","NULL","La Marseillaise","http://dbpedia.org/resource/La_Marseillaise","4.32e+11","NULL","NULL","Euro","http://dbpedia.org/resource/Euro","NULL","NULL","NULL","NULL","NULL","Flag of the French Southern and Antarctic Lands.svg","NULL","NULL","NULL","NULL","French language","http://dbpedia.org/resource/French_language","François Hollande","http://dbpedia.org/resource/Fran%C3%A7ois_Hollande","{Administrator|President|Head of District}","Adélie Land","Liberté égalité fraternité","French language","http://dbpedia.org/resource/French_language","NULL","NULL","NULL","NULL"
